Year,Yearly Cumulative Return,Sharpe Ratio
2012,0.32705459772743173,3.8124901988409157
2013,0.27290549683309484,4.236836882980884
2014,0.2948073392180055,3.3404909865647774
2015,0.3063336690121723,3.338169772123161
2016,0.30294908863004744,3.673333193136747
2017,0.2572295239172,5.194455215307269
2018,0.3696496856844005,4.479319457805904
2019,0.2850703735991871,2.9357034863335336
2020,0.4312959763545794,1.8128027704680876
2021,0.3588682547599331,4.174240352972089
2022,0.5101014771498038,2.5509874868810667
2023,0.34468813888914296,3.488477792653223
2024,0.3951476030207788,3.696569203906699
