Year,Yearly Cumulative Return,Sharpe Ratio
2012,0.20333020617465292,2.383396941785275
2013,0.1636206688419075,2.7040871121191516
2014,0.20482654174164705,3.269114229172803
2015,0.19199969777981174,2.810225348364648
2016,0.20539473176634004,2.2285172965154794
2017,0.16780315163683324,4.056358466505239
2018,0.21707652846275005,2.717348843078067
2019,0.18121109307240624,2.7280654683753243
2020,0.37130535497714345,1.564023226144931
2021,0.23978331669224429,3.6058159019027722
2022,0.36363992030349657,2.932056642857191
2023,0.20759148294493945,3.0829369723893043
2024,0.24156153618873177,4.727600606774436
