Year,Yearly Cumulative Return,Sharpe Ratio
2012,0.3063857121515965,3.494656017992603
2013,0.27431207855947215,3.895207085070189
2014,0.29265247588465026,3.4433777472334546
2015,0.3143637155760002,3.423182168552881
2016,0.30513685501069054,3.5349869034092176
2017,0.2564381766218229,4.867240956423653
2018,0.3559984201786226,5.169293539960795
2019,0.2850772170032152,3.313220626040783
2020,0.42544893237125714,1.5710274519914824
2021,0.3604792399428274,3.9698385866960626
2022,0.5039965020450654,2.5002274504771442
2023,0.32609118326144326,3.2879270299656973
2024,0.3851662844765087,3.3580612974576303
